Date,Close,Open,High,Low
11-12-2009,145.0067,147.8423,147.8811,143.7507
14-12-2009,145.5116,145.3304,145.8871,144.7736
15-12-2009,145.408,144.3333,146.159,143.9837
16-12-2009,147.1172,146.6899,147.6869,146.3403
17-12-2009,143.3881,145.0714,145.3433,142.6371
18-12-2009,143.919,143.0903,144.7736,142.0933
21-12-2009,141.912,144.6182,144.9031,141.2387
22-12-2009,140.7079,140.8891,141.912,138.3772
23-12-2009,141.6531,140.8632,142.0156,140.3324
24-12-2009,143.0515,142.6501,143.168,142.1839
25-12-2009,143.0515,142.6501,143.168,142.1839
28-12-2009,143.4529,144.1262,144.1909,142.7019
29-12-2009,142.1839,143.5824,143.5824,142.0545
30-12-2009,141.4589,141.5754,142.0286,140.6949
31-12-2009,141.9379,143.0256,143.2975,141.7826
01-01-2010,141.9379,143.0256,143.2975,141.7826
04-01-2010,144.7995,144.411,145.6152,144.3981
05-01-2010,144.8513,145.9778,145.9778,144.4628
06-01-2010,147.156,145.3692,147.4021,145.2656
07-01-2010,146.7935,146.2238,147.0784,146.1461
08-01-2010,147.4668,145.3692,147.6092,144.9549
11-01-2010,149.0849,149.9384,150.4775,148.7255
12-01-2010,146.2378,148.6779,149.3967,145.572
13-01-2010,147.1952,146.9061,147.39,144.8192
14-01-2010,147.9864,147.1477,148.3745,146.3954
15-01-2010,146.3699,147.0812,147.1976,145.8397
18-01-2010,146.3699,146.3699,147.1976,145.8397
19-01-2010,147.5855,146.163,147.6373,146.1371
20-01-2010,144.0162,146.3311,147.5855,143.2661
21-01-2010,142.8005,142.8652,143.667,140.8348
22-01-2010,141.0676,141.5461,142.2574,140.0588
25-01-2010,141.8435,142.128,142.3091,141.4685
26-01-2010,142.1927,141.3004,142.6583,140.5115
27-01-2010,140.408,141.9211,142.3608,140.3821
28-01-2010,140.2916,141.3262,141.8565,138.9466
29-01-2010,140.1623,140.3951,141.1452,139.0242
01-02-2010,142.904,140.6149,143.279,140.4597
02-02-2010,144.5852,143.9256,144.8309,143.4601
03-02-2010,143.8093,144.6111,144.6887,143.2273
04-02-2010,137.4723,142.7747,152.086,137.1361
05-02-2010,136.1532,136.2825,138.5069,135.0798
08-02-2010,137.8862,138.4164,138.8302,137.3171
09-02-2010,139.3088,139.3346,140.1623,138.5069
10-02-2010,139.1924,139.4769,139.6321,137.4853
11-02-2010,141.5719,139.6191,141.7271,139.0372
12-02-2010,140.9641,140.5632,141.3521,139.4251
15-02-2010,140.9641,140.5632,141.3521,139.4251
16-02-2010,144.818,143.8481,145.0896,143.8222
17-02-2010,144.8568,145.581,145.7103,143.9256
18-02-2010,144.6757,143.3178,145.4387,143.0204
19-02-2010,145.1154,143.8093,145.8009,143.3437
22-02-2010,143.9515,145.3482,145.5939,143.5506
23-02-2010,142.6712,143.9644,144.1326,142.2056
24-02-2010,141.8952,141.4685,142.8652,141.2874
25-02-2010,143.3566,141.2098,143.5506,140.8089
26-02-2010,144.7016,143.3954,144.7792,143.1756
01-03-2010,144.624,143.9127,145.1542,143.8869
02-03-2010,147.0941,145.3094,147.2105,144.8697
03-03-2010,147.8571,147.3528,148.1804,146.8225
04-03-2010,146.538,147.4304,147.4433,145.6069
05-03-2010,146.8096,146.6156,147.5855,145.8138
08-03-2010,145.3615,146.9725,147.0242,144.6478
09-03-2010,145.1417,144.5471,145.4571,143.3139
10-03-2010,143.3066,145.7,145.8706,142.7069
11-03-2010,143.3195,143.1205,143.6219,142.3143
12-03-2010,142.4799,144.4821,144.5725,141.9115
15-03-2010,142.9449,142.9966,143.3453,142.4153
16-03-2010,145.1409,143.9396,145.8643,143.8491
17-03-2010,145.3605,145.8384,145.9676,144.973
18-03-2010,145.7868,145.5672,146.0322,144.6113
19-03-2010,143.2291,145.1538,145.7222,142.3636
22-03-2010,142.1828,142.454,142.8674,141.214
23-03-2010,142.7253,141.679,143.2678,141.6144
24-03-2010,140.7877,140.9814,141.3044,140.3872
25-03-2010,141.3302,141.4077,141.5111,140.5939
26-03-2010,142.7899,141.8857,143.1258,141.059
29-03-2010,143.5779,143.6037,144.1591,143.1258
